year,imm
2010,99
2010,95
2010,99
2010,67
2010,98
2010,97
2010,80
2010,89
2010,94
2010,99
2010,88
2010,85
2010,99
2010,95
2010,98
2010,68
2010,95
2010,88
2010,91
2010,96
2010,94
2010,97
2010,92
2010,92
2010,97
2010,90
2010,79
2010,90
2010,53
2010,46
2010,93
2010,88
2010,72
2010,74
2010,75
2010,83
2010,70
2010,96
2010,99
2010,87
2010,98
2010,85
2010,85
2010,99
2010,85
2010,95
2010,96
2010,92
2010,51
2010,97
2010,95
2010,94
2010,64
2010,94
2010,98
2010,62
2010,92
2010,94
2010,93
2010,99
2010,95
2010,93
2010,58
2010,76
2010,95
2010,64
2010,97
2010,99
2010,93
2010,99
2010,75
2010,90
2010,96
2010,89
2010,98
2010,99
2010,86
2010,89
2010,99
2010,98
2010,99
2010,64
2010,95
2010,79
2010,88
2010,65
2010,98
2010,96
2010,96
2010,66
2010,93
2010,95
2010,97
2010,78
2010,73
2010,97
2010,67
2010,99
2010,80
2010,97
2010,92
2010,97
2010,90
2010,98
2010,82
2010,88
2010,75
2010,99
2010,86
2010,91
2010,99
2010,67
2010,56
2010,98
2010,93
2010,99
2010,57
2010,39
2010,97
2010,74
2010,93
2010,94
2010,80
2010,98
2010,96
2010,99
2010,95
2010,95
2010,56
2010,88
2010,92
2010,81
2010,95
2010,99
2010,82
2010,95
2010,98
2010,95
2010,74
2010,46
2010,64
2010,99
2010,99
2010,95
2010,99
2010,90
2010,90
2010,97
2010,82
2010,94
2010,92
2010,98
2010,66
2010,68
2010,86
2010,92
2010,97
2010,99
2010,85
2010,73
2010,56
2010,94
2010,95
2010,98
2010,70
2010,79
2010,98
2010,68
2010,96
2010,90
2011,95
2011,94
2011,99
2011,99
2011,89
2011,97
2011,84
2011,80
2011,90
2011,94
2011,99
2011,98
2011,96
2011,98
2011,98
2011,97
2011,93
2011,98
2011,90
2011,92
2011,64
2011,99
2011,95
2011,99
2011,60
2011,99
2011,97
2011,84
2011,92
2011,90
2011,99
2011,93
2011,93
2011,99
2011,95
2011,98
2011,70
2011,95
2011,96
2011,89
2011,97
2011,91
2011,95
2011,89
2011,93
2011,96
2011,88
2011,76
2011,88
2011,49
2011,54
2011,91
2011,88
2011,79
2011,74
2011,83
2011,83
2011,49
2011,96
2011,99
2011,87
2011,98
2011,87
2011,84
2011,99
2011,87
2011,94
2011,96
2011,89
2011,51
2011,98
2011,94
2011,87
2011,68
2011,94
2011,97
2011,72
2011,91
2011,91
2011,91
2011,99
2011,95
2011,89
2011,62
2011,83
2011,98
2011,65
2011,97
2011,99
2011,94
2011,99
2011,77
2011,92
2011,97
2011,88
2011,98
2011,99
2011,87
2011,90
2011,99
2011,99
2011,97
2011,69
2011,92
2011,79
2011,92
2011,71
2011,98
2011,94
2011,96
2011,62
2011,96
2011,95
2011,96
2011,72
2011,84
2011,88
2011,67
2011,99
2011,92
2011,91
2011,91
2011,98
2011,91
2011,99
2011,82
2011,88
2011,74
2011,99
2011,88
2011,93
2011,99
2011,69
2011,49
2011,97
2011,93
2011,99
2011,59
2011,85
2011,97
2011,79
2011,91
2011,96
2011,87
2011,98
2011,97
2011,98
2011,93
2011,95
2011,59
2011,90
2011,91
2011,84
2011,93
2011,99
2011,84
2011,95
2011,98
2011,96
2011,77
2011,46
2011,68
2011,62
2011,99
2011,99
2011,91
2011,97
2011,87
2011,85
2011,97
2011,80
2011,98
2011,93
2011,98
2011,62
2011,72
2011,85
2011,92
2011,96
2011,99
2011,98
2011,75
2011,67
2011,95
2011,95
2011,99
2011,75
2011,86
2011,96
2011,66
2011,83
2011,92
2012,94
2012,94
2012,99
2012,99
2012,91
2012,97
2012,83
2012,82
2012,90
2012,96
2012,99
2012,99
2012,96
2012,98
2012,98
2012,97
2012,93
2012,96
2012,92
2012,91
2012,59
2012,98
2012,95
2012,98
2012,67
2012,98
2012,97
2012,88
2012,94
2012,91
2012,99
2012,88
2012,90
2012,98
2012,96
2012,96
2012,74
2012,95
2012,92
2012,94
2012,97
2012,95
2012,94
2012,87
2012,93
2012,91
2012,84
2012,82
2012,98
2012,49
2012,63
2012,90
2012,94
2012,85
2012,72
2012,80
2012,90
2012,74
2012,95
2012,99
2012,86
2012,98
2012,90
2012,83
2012,99
2012,88
2012,96
2012,93
2012,93
2012,35
2012,94
2012,88
2012,62
2012,94
2012,97
2012,71
2012,95
2012,93
2012,88
2012,99
2012,94
2012,93
2012,51
2012,81
2012,99
2012,65
2012,97
2012,99
2012,90
2012,98
2012,69
2012,92
2012,96
2012,93
2012,98
2012,96
2012,93
2012,91
2012,99
2012,99
2012,98
2012,72
2012,90
2012,79
2012,91
2012,80
2012,98
2012,93
2012,99
2012,61
2012,90
2012,95
2012,98
2012,67
2012,93
2012,78
2012,75
2012,99
2012,91
2012,91
2012,90
2012,99
2012,90
2012,99
2012,82
2012,84
2012,76
2012,96
2012,86
2012,92
2012,99
2012,75
